"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2023/05/22","4.1137","19.32","36.14","12.29","27        ","21        ","43        "
"台中電廠      ","2023/05/23","3.0159","21.06","39.48","14.18","13        ","18        ","36        "
"台中電廠      ","2023/05/24","3.3474","16.84","35.41","12.51","98        ","94        ","99        "
"台中電廠      ","2023/05/25","3.5119","13.21","36.21","12.49","57        ","60        ","70        "
"台中電廠      ","2023/05/26","3.876","18.29","36.67","12.6","79        ","78        ","78        "
"台中電廠      ","2023/05/27","3.3074","13.19","36.38","12.53","69        ","61        ","76        "
"台中電廠      ","2023/05/28","3.4055","19.15","37.31","12.57","69        ","64        ","56        "
"台中電廠      ","2023/05/29","4.0371","14.67","35.51","12.68","66        ","68        ","73        "
"台中電廠      ","2023/05/30","4.3097","15.16","37.37","12.65","80        ","49        ","56        "
"台中電廠      ","2023/05/31","4.0442","23.17","36.23","12.69","21        ","15        ","47        "
"台中電廠      ","2023/06/01","3.8702","20.3","36.49","12.55","27        ","22        ","41        "
"台中電廠      ","2023/06/02","4.5419","17.05","38.2","12.65","53        ","44        ","57        "
"台中電廠      ","2023/06/03","4.5462","21.38","35.9","13.35","45        ","53        ","73        "
"台中電廠      ","2023/06/04","4.0327","17.53","35.55","12.46","42        ","42        ","58        "
"台中電廠      ","2023/06/05","4.185","14.35","38.38","13.16","38        ","61        ","81        "
"台中電廠      ","2023/06/06","4.1295","14.47","35.43","12.89","32        ","41        ","51        "
"台中電廠      ","2023/06/07","4.3848","10.66","35.18","12.86","31        ","20        ","39        "
"台中電廠      ","2023/06/08","4.6802","12.81","37.49","13.1","19        ","12        ","34        "
"台中電廠      ","2023/06/09","4.6544","16.57","38.25","13.45","20        ","19        ","43        "
"台中電廠      ","2023/06/10","4.2069","12.56","34.35","13.36","48        ","42        ","57        "
"台中電廠      ","2023/06/11","4.3437","16.94","38.61","13.19","27        ","40        ","40        "
"台中電廠      ","2023/06/12","4.2373","17.26","39.84","13.53","23        ","29        ","36        "
"台中電廠      ","2023/06/13","4.5686","13.4","36.25","13.11","28        ","21        ","42        "
"台中電廠      ","2023/06/14","4.6794","12.89","36.68","13.25","22        ","12        ","24        "
"台中電廠      ","2023/06/15","4.6727","12.3","35.56","13.21","32        ","47        ","61        "
"台中電廠      ","2023/06/16","4.8991","17.06","38.84","12.96","24        ","12        ","24        "
"台中電廠      ","2023/06/17","4.7881","19.01","39.41","13.33","32        ","26        ","40        "
"台中電廠      ","2023/06/18","4.499","14.06","37.65","12.38","37        ","44        ","54        "
"台中電廠      ","2023/06/19","4.3767","13.38","39.22","12.85","29        ","32        ","47        "
"台中電廠      ","2023/06/20","4.8565","12.98","38.51","13.61","34        ","22        ","44        "
"台中電廠      ","2023/06/21","5.0082","18.4","38.96","12.82","18        ","11        ","32        "
"台中電廠      ","2023/06/22","4.6155","14.38","37.71","12.51","23        ","10        ","35        "
"台中電廠      ","2023/06/23","4.3898","15.48","38.13","13.65","31        ","17        ","35        "
"台中電廠      ","2023/06/24","4.7474","17.75","38.78","13.2","34        ","18        ","37        "
"台中電廠      ","2023/06/25","4.4274","10.71","37.24","14.47","27        ","10        ","30        "
"台中電廠      ","2023/06/26","4.7885","12.91","37.2","13.18","29        ","19        ","36        "
"台中電廠      ","2023/06/27","4.9307","14.99","37.48","13.4","25        ","22        ","36        "
"台中電廠      ","2023/06/28","4.7686","15.32","37.33","13.13","-         ","37        ","57        "
"台中電廠      ","2023/06/29","4.6053","17.5","37.56","13.44","59        ","68        ","75        "
"台中電廠      ","2023/06/30","4.7751","20.3","38.84","12.97","18        ","10        ","21        "
"台中電廠      ","2023/07/01","4.4302","17.58","39.04","13.47","28        ","14        ","27        "
"台中電廠      ","2023/07/02","3.8681","14.99","37.21","12.5","19        ","14        ","33        "
"台中電廠      ","2023/07/03","4.2607","13.88","37.72","12.63","24        ","16        ","33        "
"台中電廠      ","2023/07/04","4.3189","13.89","38.06","12.64","21        ","12        ","29        "
"台中電廠      ","2023/07/05","4.7862","12.66","38.89","13.31","21        ","11        ","30        "
"台中電廠      ","2023/07/06","4.2407","13.28","38.51","12.51","25        ","19        ","35        "
"台中電廠      ","2023/07/07","4.1557","13.1","35.62","12.02","37        ","31        ","47        "
"台中電廠      ","2023/07/08","4.26","17.9","37.95","13.13","50        ","44        ","62        "
"台中電廠      ","2023/07/09","3.9693","14.53","37.01","12.41","42        ","35        ","58        "
"台中電廠      ","2023/07/10","4.0616","13.54","36.15","12.43","34        ","15        ","30        "
"台中電廠      ","2023/07/11","4.7212","12.83","39.16","12.88","24        ","16        ","37        "
"台中電廠      ","2023/07/12","4.9218","13.99","35.83","13.19","17        ","13        ","27        "
"台中電廠      ","2023/07/13","5.0081","15.29","35.95","13.26","31        ","6         ","37        "
"台中電廠      ","2023/07/14","4.9484","16.52","37.49","13.26","26        ","15        ","27        "
"台中電廠      ","2023/07/15","4.6391","14.34","35.02","13.16","50        ","31        ","44        "
"台中電廠      ","2023/07/16","4.6827","14.45","37.1","13.33","55        ","54        ","61        "
"台中電廠      ","2023/07/17","5.0465","15.12","34.53","13.21","29        ","22        ","41        "
"台中電廠      ","2023/07/18","4.5928","18.56","32.74","13.59","26        ","15        ","29        "
"台中電廠      ","2023/07/19","4.5345","17.63","34.45","13.18","14        ","13        ","27        "
"台中電廠      ","2023/07/20","4.8163","8.25","34.23","13.02","31        ","21        ","36        "
"台中電廠      ","2023/07/21","4.6203","17.87","30.82","13.41","13        ","9         ","23        "
"台中電廠      ","2023/07/22","4.4793","18.63","37.43","13.13","19        ","15        ","32        "
"台中電廠      ","2023/07/23","4.6123","18.57","37.29","13.51","28        ","14        ","24        "
"台中電廠      ","2023/07/24","4.6677","17.64","37.21","14.29","19        ","11        ","35        "
"台中電廠      ","2023/07/25","4.5994","14.56","37.08","13.93","32        ","29        ","44        "
"台中電廠      ","2023/07/26","4.7036","14.29","35.66","13.66","65        ","81        ","84        "
"台中電廠      ","2023/07/27","4.0498","14.55","36.76","13.64","49        ","47        ","51        "
"台中電廠      ","2023/07/28","3.6175","13.65","37.96","13.38","34        ","23        ","36        "
"台中電廠      ","2023/07/29","2.9136","12.82","34.98","12.48","25        ","15        ","37        "
"台中電廠      ","2023/07/30","3.0376","17.93","37.17","12.48","25        ","15        ","31        "
"台中電廠      ","2023/07/31","3.8295","12.98","34.19","13.09","34        ","28        ","45        "
"台中電廠      ","2023/08/01","3.4218","15.96","36.62","13.05","36        ","30        ","47        "
"台中電廠      ","2023/08/02","3.6363","15.12","36.73","13.01","23        ","6         ","29        "
"台中電廠      ","2023/08/03","3.8146","16.55","33.33","13.04","49        ","40        ","58        "
"台中電廠      ","2023/08/04","3.638","17.39","33.03","13.6","28        ","22        ","42        "
"台中電廠      ","2023/08/05","3.5195","16.73","34","13.02","36        ","21        ","52        "
"台中電廠      ","2023/08/06","3.9979","13.73","33.26","12.96","31        ","22        ","55        "
"台中電廠      ","2023/08/07","4.6243","17.91","35.06","14.24","42        ","41        ","60        "
"台中電廠      ","2023/08/08","4.6492","16.01","34.92","14.38","37        ","32        ","52        "
"台中電廠      ","2023/08/09","4.6048","15.57","35.13","13.78","34        ","26        ","43        "
"台中電廠      ","2023/08/10","4.4021","15.32","34.8","13.87","30        ","23        ","54        "
"台中電廠      ","2023/08/11","3.9442","15.79","34.72","15.15","24        ","21        ","45        "
"台中電廠      ","2023/08/12","3.3135","12.23","31.82","12.59","34        ","19        ","47        "
"台中電廠      ","2023/08/13","3.2298","16.54","31.6","12.93","38        ","27        ","55        "
"台中電廠      ","2023/08/14","4.0578","17.36","37.14","13.8","33        ","30        ","52        "
"台中電廠      ","2023/08/15","4.3476","13.1","35.1","14.15","27        ","31        ","47        "
"台中電廠      ","2023/08/16","4.0383","12.1","34.05","13.48","35        ","33        ","55        "
"台中電廠      ","2023/08/17","4.059","13.22","33.92","13.24","29        ","29        ","-         "
"台中電廠      ","2023/08/18","3.9074","12.02","36.58","14.22","21        ","9         ","-         "
"台中電廠      ","2023/08/19","3.5652","16.63","35.57","13.66","16        ","7         ","-         "
"台中電廠      ","2023/08/20","3.4189","15.54","34.9","12.76","23        ","19        ","-         "
